iter	Passed	Remaining
0	8	2624
1	16	2411
2	22	2203
3	28	2113
4	34	2049
5	41	2013
6	47	1986
7	53	1954
8	59	1930
9	65	1910
10	72	1894
11	78	1877
12	84	1874
13	91	1870
14	97	1855
15	104	1846
16	110	1835
17	116	1823
18	122	1811
19	128	1805
20	135	1795
21	141	1785
22	147	1773
23	153	1765
24	159	1756
25	165	1747
26	172	1744
27	178	1736
28	184	1727
29	191	1720
30	197	1712
31	203	1704
32	209	1696
33	216	1690
34	222	1682
35	228	1675
36	234	1669
37	240	1660
38	247	1654
39	253	1646
40	259	1639
41	265	1632
42	271	1624
43	278	1618
44	284	1611
45	290	1603
46	296	1595
47	302	1589
48	309	1583
49	315	1576
50	321	1570
51	327	1563
52	334	1557
53	340	1552
54	347	1547
55	353	1539
56	359	1533
57	365	1526
58	372	1519
59	378	1512
60	384	1506
61	390	1500
62	396	1493
63	403	1488
64	409	1481
65	416	1476
66	422	1469
67	429	1463
68	435	1456
69	441	1450
70	447	1443
71	454	1438
72	460	1431
73	466	1425
74	473	1419
75	479	1413
76	485	1407
77	492	1401
78	498	1395
79	505	1389
80	511	1384
81	518	1378
82	524	1372
83	531	1365
84	537	1360
85	544	1354
86	550	1347
87	556	1341
88	563	1335
89	569	1329
90	576	1323
91	582	1316
92	589	1311
93	596	1306
94	602	1299
95	608	1293
96	614	1287
97	621	1280
98	627	1274
99	634	1269
100	640	1262
101	647	1256
102	654	1250
103	660	1245
104	667	1239
105	673	1233
106	680	1227
107	687	1221
108	693	1215
109	700	1209
110	706	1203
111	713	1197
112	720	1191
113	726	1185
114	733	1179
115	739	1173
116	746	1166
117	752	1160
118	759	1154
119	765	1148
120	771	1141
121	778	1135
122	784	1129
123	791	1122
124	797	1116
125	803	1110
126	810	1103
127	816	1097
128	823	1091
129	829	1084
130	836	1079
131	842	1072
132	849	1066
133	855	1060
134	862	1054
135	868	1047
136	875	1041
137	881	1034
138	888	1028
139	894	1022
140	900	1015
141	907	1009
142	914	1003
143	921	997
144	928	992
145	936	987
146	945	983
147	953	978
148	961	974
149	969	969
150	976	963
151	984	958
152	991	952
153	1000	948
154	1008	943
155	1015	937
156	1023	932
157	1031	927
158	1039	921
159	1047	916
160	1056	911
161	1063	905
162	1071	900
163	1078	894
164	1086	888
165	1095	884
166	1102	878
167	1110	872
168	1118	866
169	1126	861
170	1134	855
171	1142	850
172	1150	844
173	1158	838
174	1166	833
175	1174	827
176	1182	821
177	1190	815
178	1198	810
179	1207	804
180	1215	799
181	1227	796
182	1238	791
183	1248	786
184	1257	781
185	1266	776
186	1274	769
187	1282	764
188	1291	758
189	1299	752
190	1308	746
191	1316	740
192	1324	734
193	1333	728
194	1341	722
195	1350	716
196	1358	710
197	1365	703
198	1372	696
199	1378	689
200	1386	682
201	1394	676
202	1401	669
203	1408	662
204	1415	656
205	1422	649
206	1430	642
207	1436	635
208	1443	628
209	1450	621
210	1458	615
211	1464	608
212	1471	601
213	1478	594
214	1485	587
215	1492	580
216	1499	573
217	1506	566
218	1513	559
219	1520	553
220	1527	546
221	1535	539
222	1542	532
223	1549	525
224	1556	518
225	1563	511
226	1570	504
227	1576	497
228	1583	491
229	1591	484
230	1597	477
231	1605	470
232	1612	463
233	1619	456
234	1626	449
235	1633	442
236	1640	436
237	1647	429
238	1654	422
239	1661	415
240	1668	408
241	1675	401
242	1682	394
243	1689	387
244	1696	380
245	1703	373
246	1710	366
247	1717	360
248	1724	353
249	1731	346
250	1738	339
251	1745	332
252	1753	325
253	1760	318
254	1767	311
255	1774	305
256	1781	298
257	1788	291
258	1795	284
259	1802	277
260	1810	270
261	1817	263
262	1823	256
263	1831	249
264	1838	242
265	1845	235
266	1852	228
267	1859	222
268	1866	215
269	1874	208
270	1881	201
271	1890	194
272	1897	187
273	1905	180
274	1912	173
275	1919	166
276	1926	159
277	1933	153
278	1942	146
279	1949	139
280	1958	132
281	1965	125
282	1973	118
283	1980	111
284	1988	104
285	1995	97
286	2002	90
287	2010	83
288	2017	76
289	2025	69
290	2032	62
291	2039	55
292	2046	48
293	2054	41
294	2061	34
295	2069	27
296	2077	20
297	2084	13
298	2092	6
299	2099	0
